	headline
0	Ryanair to cut 1 million more passenger seats in Spain
1	Looted by Nazis, a 17th-Century Painting Resurfaces. But Not for Long.
2	Analysis: Spotlight on childcare reforms reveals how far there is to go
3	Do body wipes actually work? Experts weigh in
4	Is Meghan’s Netflix series another ‘exercise in narcissism’?
5	These colleges are welcoming pets in dorms to reduce students’ stress and anxiety
6	Taipei City council in the dog house over Chinese-made patrol robot
7	BOM forecasts wet spring as severe storm barrels towards nation's south
8	Nonalcoholic beer and mocktails can help people stay sober or drink less, but are not for everyone
9	Massachusetts cranberry bogs are being given a second life as vibrant wetlands
10	U.S. Open foes Jelena Ostapenko and Taylor Townsend get into heated post-match row
11	Humans inhale as much as 68,000 microplastic particles daily, study finds
12	SpaceX deploys first mock Starlink satellites on 10th test flight
13	Love Island USA' winner Amaya reveals she and Bryan broke up
14	He paid triple the going rate for solar panels. Now he warns people to research door-to-door contracts
15	Why Arthur Ashe Stadium and the US Open are so unique and sometimes divisive
16	Blockbuster Canadian romance author Carley Fortune announces 5th novel
17	Nvidia Sales Jump 56%, a Sign the A.I. Boom Isn’t Slowing Down
18	Furniture, architecture, fashion: 3 designers explain how AI is transforming everything
19	Italian apples get their own dedicated cable car ride
20	Denzel Washington reveals he doesn’t watch movies anymore
21	How are the new students feeling on the first day of school?
22	Alcaraz Vanquishes Demons of Last Year
23	Why eradicating the Asian hornet is taken so seriously
24	The untold history of one of Australia's most iconic photos
25	Two Pakistan towns face flood risk if river barrage crumbles, officials say
26	Rocky waters ahead for British artist stopping sales to customers across the pond
27	Watch: Arizona ‘haboob’ dust storm causes disruption
28	From boom to ban: The rise and fall of India's betting apps
29	Why the egusi? A Nigerian melon seed's journey into space
30	Does removing mustache hair lead to thicker hair growth?
31	Coach Hugo Broos announces final squad for Bafana Bafana's World Cup qualifiers
32	I found weed in the 3rd grade': Jacob Balshin | New Wave Of Standup
33	Venus Williams’ fuzzy tennis racket case was a major serve
34	These British rock stars never conquered America. They’re now playing to a sold-out Chicago stadium
35	How chatbots are making us speak like management consultants
36	Alcaraz cruises into third round with commanding win over Bellucci
37	Most people in Denmark and the Netherlands have a doctor. Here's what Canada can learn
38	Calling rental income 'unearned' is the final insult from this Government
39	Russian and Chinese submarines conduct first-ever joint patrol in Pacific
40	How will Shamrock Rovers approach Santa Clara mission?
41	Former elite athlete takes home $100,000 landscape art prize
42	Taylor Swift’s romantic travails were the soundtrack to mine. What does her engagement mean for fans’ love lives?
43	UK beef farmers scramble to feed hungry herds
44	Grand jury declines to indict man who threw a sandwich at federal officer in the capital
45	In under three hours, China’s bullet trains whisk travelers back 1,200 years in time
46	The buses, trams and trains that have kept London running for 200 years
47	The Deion Sanders Effect: Why colleges are hiring former NFL stars as coaches
48	Zimbabwean accountant's estate sequestrated for R17 million fraud
49	Antarctic expedition to search for bird flu on Heard Island
50	Jason Kelce celebrates Taylor Swift and Travis Kelce's 'proposal heard 'round the world'
51	Why Watership Down has no place in my list of the greatest animated films
52	Where have all the crabs gone? How development is squeezing out southern Malaysia’s sea people
53	‘I turned down $20m to do Terminator 3. I can’t be bought, dude’: Ridley Scott on directing, Daleks and ... cherry jam
54	Does the multiverse exist?
55	Taylor Swift’s engagement ring: Find out what expert at Rome’s oldest jewelry store thinks it cost
56	What Can I Wear on a Plane Besides Leggings and Sweats?
57	Japan releases AI-generated Mount Fuji eruption video to encourage Tokyo residents to be prepared
58	Discover the Bellville Business Expo: a hub for innovation and networking
59	How to make sure you lose fat, not muscle, when you’re on a diet
60	Bad Bunny reveals why he was 'a little' nervous about acting in 'Caught Stealing'
61	What ‘sunburn cinema’ tells us about the Great British holiday
62	Big hits, great saves: B.C. players shine at inaugural Women's Para Hockey World Championships
63	What can you expect from Electric Picnic 2025?
64	Grizzly bear attacks travel blogger’s tent
65	It could be a La Niña winter. Here’s what your region might see
66	Is entrepreneur Bryan Johnson going to live forever?
67	Klamath: America's largest river restoration project
68	Forget Philly: Locals and tourists chow down on moose and reindeer cheesesteaks in northern Sweden
69	A famous Australian song almost didn't sound the way it does today
70	Family planned to emigrate before securing Tuath Housing Cost Rental property
71	Asian hornet nest located in Cork city following hunt
72	Computer science degrees were once a golden ticket. Now, jobs are hard to find
73	Robot rabbits the latest tool in battle to control invasive Burmese pythons in Everglades
74	AI detects sound of frog species threatened in Southern California
75	Your AI therapist might be illegal soon. Here’s why
76	Denmark Apologizes After Birth Control Scandal in Greenland
77	The nuclear legacy hidden in your body
78	Shame and disgust': Why we find this STI so hard to talk about
79	Sarah Mitton stripped of Diamond League Trophy after winning throw disqualified
80	How Taylor Swift can plan her wedding (and Travis Kelce will also be there)
81	Youth employment and sustainability at the heart of South Africa's G20 presidency
82	Drainage crews stayed to protect New Orleans during Katrina. What they’d face was unimaginable
83	Reeves considers tax raid on landlords
84	That ominous two-note theme and a malfunctioning mechanical shark: Jaws at 50
85	Exclusive: TikTok owner ByteDance sets valuation at over $330 billion as revenue grows, sources say
86	The pH of the ocean is changing, and it could erode sharks’ teeth
87	Recognise the warning signs: how overlooked burnout can sabotage your career
88	Taylor Swift’s engagement is a great advert for the cult of celebrity
89	Bland, easy to follow, for fans of everything: what has the Netflix algorithm done to our films?
90	Breakthrough in Australian soft plastics recycling
91	British expats in France hit with shock pension tax bills
92	Racism row erupts at US Open after ‘no class, no education’ insult
93	Punches and slaps: Watch as Mexican Senate debate ends in brawl
94	‘A perfect symbiosis’: planting vines and other ways hot cities are creating cool spaces
95	Tennis Handshakes, Controversy and the Spectacle of Elite Sport
96	How Tesla and Waymo's radically different robotaxi approaches will shape the industry
97	SARS cracks down on influencers: Free trips, brand deals now count as taxable income
98	Forecasters warn of tornadoes in US in coming days
99	‘Something has to change’: Manchester United plunges to new low against fourth-division Grimsby Town
200	Cooking Recipes, advice and inspiration for everyday cooking, special occasions and more.
201	5 key takeaways from the latest presidential debate Analysis and Comment
202	Business live Euro and Paris stock market slides as French prime minister resigns
203	David Muir reports on daughter thanking nurse who saved dad at Bills game
204	11 movies you can safely watch with your parents — and grandparents — and all truly enjoy
205	Egypt says 3,000-year-old bracelet was stolen and melted down
206	Epic Mercury comeback evens Lynx series; Wilson stars in Aces win
207	Business Nearly a third of bosses report increase in cyber-attacks on their supply chains
208	I cut up 15 bike locks to find the best in the US. Here are my favorites
209	How a bet landed Abraham Lincoln in the Wrestling Hall of Fame
210	Canadian writer David Szalay shortlisted for 2025 Booker Prize
211	Highest UK government borrowing in August for five years
212	New hand luggage liquid rules in force at Dublin Airport
213	Was it worth it?': BBC correspondents assess Trump's state visit
214	‘The Fate of Ophelia’ music video premieres online 
215	France’s prime minister resigns less than a month after appointment
216	Harry follows in Diana’s footsteps as he joins new Aids campaign
217	Syrians vote in the first parliamentary election since Assad’s fall, in photos
218	Strikes and protests roil France, pitting the streets against Macron and his new prime minister
219	When does trying to have a healthier baby become eugenics-y?
220	Travel‘Immortalised by Monet’: the enduring seaside charm of Trouville, Normandy
221	Trump says TV networks opposed to him should 'maybe' lose licence
222	Easy Mode Get an easy version of one of the hardest crossword puzzles of the week.
223	Nations ratify the world’s first treaty to protect international waters
224	Americans are socialising less - here’s why that’s worrying Derek Thompson talks about stark declines in the amount of time Americans spend at parties with friends. See more
225	Democrats are becoming a force in traditionally conservative The Villages
226	Man arrested in connection with cyber-attack on airports
227	The Eagles got away with a penalty on a tush push against the Chiefs, NFL admits
228	As part of reforms, SafeSport seeks to improve communication on potential for long cases
229	‘Directors would be like: this is the Asian part’: Slow Horses’ Christopher Chung on battling to become a leading man
230	The Evening Catch up on big news, and wind down to end your day.
231	FilmRiff Raff review – star-stuffed crime comedy with Bill Murray, Jennifer Coolidge and Ed Harris
232	Mysterious planet is gobbling 6 billion tons of gas and dust a second
233	A moment that changed meI told my dad I was queer – and he said he found it hard to love me
234	As Taylor Swift’s frenemies decode her latest album for shade – music journalist Jenn Gannon gives us her view.
235	Bills secure 31-21 win over Dolphins for 'Thursday Night Football'
236	Rite Aid closes all of its stores after filing for bankruptcy
237	Calgary Flames say 'no' to bringing Dillon Dube back to the team
238	A toast to tradition in Japan's sake capital
239	Just before shutdown, most Americans wanted health insurance tax credits extended, KFF poll finds
240	The biggest stories of our time, in 20 minutes a day.
241	This is, objectively, the worst pasta shape
242	Why history's 'most controversial' queen was so hated
243	I work in the maternity unit where I was born - with the midwife who cared for me
244	Scientists pinpoint the brain's internal mileage clock
245	Regulators approve disputed $6.2B takeover of Minnesota Power by investment group
246	School district says it will pursue legal action after superintendent detained by ICE
247	Manchán Magan's final interview
248	Clean Everything Step-by-step advice on how to keep everything in your home squeaky clean.
249	Optus customers left angry after more failed triple-0 calls Optus customers have come forward to report more cases of triple-0 calls failing outside the embattled telcos previously admitted outages.
